LSM Hook, reachable, task_context, task_info, secctx, start, end, format, log
security_kernel_create_files_as,0,0,0,0,0,0,0,0
security_shm_free,0,0,0,0,0,0,0,0
security_ipc_permission,0,0,0,0,0,0,0,0
security_bprm_committed_creds,0,0,0,0,0,0,0,0
security_task_kill,0,0,0,0,0,0,0,0
security_task_getpgid,0,0,0,0,0,0,0,0
security_task_setnice,0,0,0,0,0,0,0,0
security_cred_alloc_blank,0,0,0,0,0,0,0,0
security_unix_stream_connect,0,0,0,0,0,0,0,0
security_file_send_sigiotask,1,1,1,0,1,1,1,1
security_task_setscheduler,1,1,1,0,1,1,1,1
security_task_to_inode,0,0,0,0,0,0,0,0
security_inode_symlink,0,0,0,0,0,0,0,0
security_sock_rcv_skb,1,1,1,0,1,1,1,1
security_key_alloc,0,0,0,0,0,0,0,0
security_inode_getsecctx,0,0,0,0,0,0,0,0
security_inode_setsecctx,0,0,0,0,0,0,0,0
security_task_setpgid,0,0,0,0,0,0,0,0
security_file_lock,0,0,0,0,0,0,0,0
security_tun_dev_open,0,0,0,0,0,0,0,0
security_inode_setxattr,0,0,0,0,0,0,0,0
security_inode_post_setxattr,0,0,0,0,0,0,0,0
security_transfer_creds,0,0,0,0,0,0,0,0
security_task_setioprio,0,0,0,0,0,0,0,0
security_tun_dev_attach,0,0,0,0,0,0,0,0
security_socket_getpeername,0,0,0,0,0,0,0,0
security_task_movememory,0,0,0,0,0,0,0,0
security_sid_mls_copy,0,0,0,0,0,0,0,0
security_task_prlimit,0,0,0,0,0,0,0,0
security_unix_may_send,0,0,0,0,0,0,0,0
security_ismaclabel,0,0,0,0,0,0,0,0
security_secmark_refcount_dec,0,0,0,0,0,0,0,0
security_inode_rmdir,0,0,0,0,0,0,0,0
security_binder_set_context_mgr,0,0,0,0,0,0,0,0
security_inet_conn_request,0,0,0,0,0,0,0,0
security_node_sid,0,0,0,0,0,0,0,0
security_settime64,0,0,0,0,0,0,0,0
security_socket_listen,0,0,0,0,0,0,0,0
security_change_sid,0,0,0,0,0,0,0,0
security_prepare_creds,1,0,0,0,1,1,1,0
security_sock_graft,0,0,0,0,0,0,0,0
security_capable_noaudit,1,1,1,0,1,1,1,1
security_file_ioctl,0,0,0,0,0,0,0,0
security_d_instantiate,1,0,0,0,0,0,0,1
security_netlink_send,0,0,0,0,0,0,0,0
security_shm_shmat,0,0,0,0,0,0,0,0
security_ib_endport_sid,0,0,0,0,0,0,0,0
security_net_peersid_resolve,0,0,0,0,0,0,0,0
security_inode_notifysecctx,0,0,0,0,0,0,0,0
security_syslog,0,0,0,0,0,0,0,0
security_binder_transaction,0,0,0,0,0,0,0,0
security_old_inode_init_security,0,0,0,0,0,0,0,0
security_sb_show_options,0,0,0,0,0,0,0,0
security_kernel_act_as,0,0,0,0,0,0,0,0
security_sk_clone,0,0,0,0,0,0,0,0
security_dentry_create_files_as,0,0,0,0,0,0,0,0
security_msg_queue_alloc,0,0,0,0,0,0,0,0
security_binder_transfer_binder,0,0,0,0,0,0,0,0
security_netif_sid,0,0,0,0,0,0,0,0
security_socket_connect,0,0,0,0,0,0,0,0
security_binder_transfer_file,0,0,0,0,0,0,0,0
security_audit_rule_known,0,0,0,0,0,0,0,0
security_socket_bind,0,0,0,0,0,0,0,0
security_kernel_post_read_file,0,0,0,0,0,0,0,0
security_capset,0,0,0,0,0,0,0,0
security_inode_rename,0,0,0,0,0,0,0,0
security_bprm_check,0,0,0,0,0,0,0,0
security_inet_conn_established,0,0,0,0,0,0,0,0
security_ib_pkey_sid,0,0,0,0,0,0,0,0
security_ptrace_traceme,0,0,0,0,0,0,0,0
security_secctx_to_secid,0,0,0,0,0,0,0,0
security_inode_mknod,0,0,0,0,0,0,0,0
security_inode_removexattr,0,0,0,0,0,0,0,0
security_file_free,0,0,0,0,0,0,0,0
security_cred_free,1,1,1,0,1,1,1,1
security_dentry_init_security,0,0,0,0,0,0,0,0
security_secid_to_secctx,1,1,1,0,1,1,1,0
security_file_alloc,0,0,0,0,0,0,0,0
security_module_enable,0,0,0,0,0,0,0,0
security_file_set_fowner,0,0,0,0,0,0,0,0
security_capget,0,0,0,0,0,0,0,0
security_inet_csk_clone,0,0,0,0,0,0,0,0
security_file_receive,0,0,0,0,0,0,0,0
security_file_open,0,0,0,0,0,0,0,0
security_sk_free,1,1,1,0,1,1,1,1
security_msg_queue_msgsnd,0,0,0,0,0,0,0,0
security_inode_listxattr,0,0,0,0,0,0,0,0
security_key_getsecurity,0,0,0,0,0,0,0,0
security_mmap_addr,0,0,0,0,0,0,0,0
security_inode_getsecid,1,1,1,0,1,1,1,0
security_mmap_file,0,0,0,0,0,0,0,0
security_sem_associate,0,0,0,0,0,0,0,0
security_sem_semop,0,0,0,0,0,0,0,0
security_task_free,1,1,1,0,1,1,1,1
security_msg_msg_alloc,0,0,0,0,0,0,0,0
security_tun_dev_alloc_security,0,0,0,0,0,0,0,0
security_msg_msg_free,0,0,0,0,0,0,0,0
security_sb_parse_opts_str,0,0,0,0,0,0,0,0
security_msg_queue_free,0,0,0,0,0,0,0,0
security_key_free,0,0,0,0,0,0,0,0
security_msg_queue_msgctl,0,0,0,0,0,0,0,0
security_inode_alloc,1,0,0,0,0,0,0,1
security_netlbl_secattr_to_sid,0,0,0,0,0,0,0,0
security_netlbl_sid_to_secattr,0,0,0,0,0,0,0,0
security_task_getsid,0,0,0,0,0,0,0,0
security_quotactl,0,0,0,0,0,0,0,0
security_quota_on,0,0,0,0,0,0,0,0
security_read_policy,0,0,0,0,0,0,0,0
security_release_secctx,1,1,1,0,1,1,1,1
security_sb_alloc,0,0,0,0,0,0,0,0
security_sb_kern_mount,0,0,0,0,0,0,0,0
security_task_fix_setuid,0,0,0,0,0,0,0,0
security_sb_pivotroot,0,0,0,0,0,0,0,0
security_inode_unlink,0,0,0,0,0,0,0,0
security_socket_post_create,0,0,0,0,0,0,0,0
